gc_percentage	relative_frequency
0	0.002579599927771202
1	0.0021131999408304015
2	0.0029023999187328025
3	0.003828599892799203
4	0.004476599874655204
5	0.004781399866120804
6	0.004608399870964804
7	0.005140799856057604
8	0.0056355998422032046
9	0.006145399827928805
10	0.007539599788891206
11	0.007993599776179207
12	0.01095639969322081
13	0.011051199690566409
14	0.016199599546411213
15	0.020592999423396017
16	0.02605519927045442
17	0.03653079897713763
18	0.05185159854815524
19	0.07688019784735446
20	0.1132661968285465
21	0.17138779520114172
22	0.2626189926466682
23	0.38585178919614993
24	0.5768275838488277
25	0.8072875773959478
26	1.1089327689498825
27	1.4372757597562786
28	1.8300889487575094
29	2.2058133382372267
30	2.589243527501181
31	2.93537571780948
32	3.3001809075949344
33	3.5721332999802677
34	3.8548954920629264
35	4.124730284507552
36	4.3984118768444675
37	4.505681273840924
38	5.019502059453942
39	4.860737263899357
40	4.633868270251688
41	4.2724630803710335
42	3.8961306909083406
43	3.5508437005763764
44	3.3724717055707925
45	3.1992429104211983
46	3.038487714922344
47	2.851093720169376
48	2.7312705235244255
49	2.5305601291443165
50	2.3996463328099025
51	2.1786313389983225
52	1.999946144001508
53	1.7330691514740637
54	1.5036519578977452
55	1.264329964598761
56	1.0532787705081945
57	0.866321175743007
58	0.7350943794173573
59	0.6133891828251029
60	0.5206419854220244
61	0.44081418765720276
62	0.3925953890073291
63	0.3041151914847746
64	0.26918599246279223
65	0.22560339368310497
66	0.18388799485113613
67	0.15412359568453932
68	0.1259307964739377
69	0.10003779719894168
70	0.08277599768227206
71	0.06861179807886965
72	0.05672019841183445
73	0.047314998675180034
74	0.04014119887604643
75	0.034243599041179226
76	0.02954439917275682
77	0.02578879927791362
78	0.022751399362960816
79	0.019976799440649614
80	0.017508599509759214
81	0.01422759960162721
82	0.010519399705456808
83	0.007112199800858405
84	0.004916199862346404
85	0.0032341999094424026
86	0.0021221999405784016
87	0.001278199964210401
88	0.0009463999735008007
89	0.0005137999856136004
90	0.00034699999028400027
91	0.00019939999441680016
92	0.0001327999962816001
93	8.319999767040007e-05
94	4.8399998644800035e-05
95	3.899999890800003e-05
96	3.1399999120800025e-05
97	1.7599999507200013e-05
98	6.799999809600006e-06
99	1.5999999552000013e-06
100	1.199999966400001e-05
