gc_percentage	relative_frequency
0	1.6382000981557453e-05
1	2.6281334918426866e-05
2	3.120600188465624e-05
3	3.5931335505952277e-05
4	4.209200252573366e-05
5	4.2892002608922994e-05
6	4.335133595691767e-05
7	4.574933609332302e-05
8	4.6508669472032365e-05
9	4.814133624087503e-05
10	5.384066993448574e-05
11	5.891000355488578e-05
12	7.02000042534192e-05
13	7.67373379477659e-05
14	9.697933915846473e-05
15	0.00012717134097282762
16	0.000178683344039564
17	0.00025589868198892454
18	0.00041790469167738976
19	0.0006670420399529595
20	0.001118057400362424
21	0.0017510994382742796
22	0.0028411621705526076
23	0.004267687589793679
24	0.006146931703766852
25	0.008833629199350669
26	0.011690634707602744
27	0.015124755583922019
28	0.019418945848372695
29	0.022129490015499697
30	0.026399477613655107
31	0.029541350475033548
32	0.03292904935162749
33	0.03411289942545073
34	0.039887786451818445
35	0.04109473119226101
36	0.044029980708266137
37	0.04450311540677706
38	0.04862590699444438
39	0.047372595591488174
40	0.04552827280910163
41	0.04151768989142251
42	0.03827218235865007
43	0.03458848613283693
44	0.032439410001328745
45	0.03099606391028759
46	0.029969887181239024
47	0.02785603038187345
48	0.027016711661935713
49	0.02663692296722489
50	0.023123710079973585
51	0.024035840799884762
52	0.021445720639985122
53	0.018744769140112236
54	0.016421698999216087
55	0.013303452142054055
56	0.010710876651735085
57	0.008691199195298172
58	0.0072510364415790006
59	0.005954737029098596
60	0.005087056310032424
61	0.004274152260242294
62	0.0037162668931815857
63	0.00297821218168437
64	0.0026366054942414496
65	0.0021951381337986463
66	0.001890678115479801
67	0.0014248454200525816
68	0.0012246040746290976
69	0.0009866433934677355
70	0.0008190387165699957
71	0.0006568987066357598
72	0.0005722907015168738
73	0.0004638146949014169
74	0.000390652690529491
75	0.00033865068729912264
76	0.0002895886843710796
77	0.0002595273491192713
78	0.00023330468087356978
79	0.00020306801236376687
80	0.00018347801110982006
81	0.00014631467555735578
82	0.00011037000668277418
83	7.367667109924855e-05
84	5.24440031753124e-05
85	3.351333534875225e-05
86	2.1056667936394826e-05
87	1.308133411208543e-05
88	8.170667163834728e-06
89	4.776000289845369e-06
90	2.749333499621353e-06
91	1.3986667510240102e-06
92	8.006667136960058e-07
93	4.98000030805337e-07
94	2.8933335050133544e-07
95	1.5866667678400122e-07
96	1.1866667473066761e-07
97	7.666667151466728e-08
98	2.8666668165333537e-08
99	2.6666668106666866e-08
100	4.8000003280000416e-08
